,agent,scenario,type,count
70,Agent-E,"shop:p2:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,3
71,Agent-E,"shop:p2:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,3
72,Agent-E,"shop:p2:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,1
73,Agent-E,"shop:p2:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
74,Agent-E,"shop:s:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
75,Agent-E,"shop:s:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
76,Agent-E,"shop:s:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
77,Agent-E,"shop:s:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
78,Agent-E,"shop:s:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
79,Agent-E,"shop:s:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,3
80,Agent-E,"shop:s:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,1
81,Agent-E,"shop:s:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
82,Agent-E,"shop:s:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,1
83,Agent-E,"shop:s:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
84,Agent-E,"shop:w:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
85,Agent-E,"shop:w:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
86,Agent-E,"shop:w:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
87,Agent-E,"shop:w:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
88,Agent-E,"shop:w:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
89,Agent-E,"shop:w:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
90,Agent-E,"shop:w:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
91,Agent-E,"spotify:am:Buy me the best value membership for a single person Input the results to the scratchpad textarea in the end, if there are any.",EF,3
92,Agent-E,"spotify:am:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
93,Agent-E,"spotify:am:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",EC,1
94,Agent-E,"spotify:ds:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",EF,3
95,Agent-E,"spotify:ds:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",EC,2
96,Agent-E,"spotify:ds:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",EF,1
97,Agent-E,"spotify:ds:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",EC,1
98,Agent-E,"spotify:ds:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",EF,2
99,Agent-E,"spotify:du:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",EF,3
100,Agent-E,"spotify:du:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",EC,1
101,Agent-E,"spotify:du:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",EF,2
102,Agent-E,"spotify:du:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",EC,3
103,BrowserUse,"health:cf:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",EF,3
104,BrowserUse,"health:cf:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
105,BrowserUse,"health:cf:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
106,BrowserUse,"health:cf:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
107,BrowserUse,"health:cf:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
108,BrowserUse,"health:cf:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
109,BrowserUse,"health:cf:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
110,BrowserUse,"health:cf:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EC,2
111,BrowserUse,"health:cf:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EF,1
112,BrowserUse,"health:cs:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",DF,3
113,BrowserUse,"health:cs:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
114,BrowserUse,"health:cs:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
115,BrowserUse,"health:cs:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
116,BrowserUse,"health:cs:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
117,BrowserUse,"health:cs:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
118,BrowserUse,"health:cs:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DC,3
119,BrowserUse,"health:tos:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",DF,3
120,BrowserUse,"health:tos:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
121,BrowserUse,"health:tos:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
122,BrowserUse,"health:tos:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
123,BrowserUse,"health:tos:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
124,BrowserUse,"health:tos:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
125,BrowserUse,"health:tos:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DC,3
126,BrowserUse,"news:bs:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
127,BrowserUse,"news:bs:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EC,1
128,BrowserUse,"news:bs:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EF,2
129,BrowserUse,"news:bs:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
130,BrowserUse,"news:cf:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",DF,3
131,BrowserUse,"news:cf:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",DF,3
132,BrowserUse,"news:cf:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",DF,3
133,BrowserUse,"news:ob:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
134,BrowserUse,"news:ob:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EC,3
135,BrowserUse,"news:ob:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
136,BrowserUse,"news:sa:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EC,3
137,BrowserUse,"news:sa:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EF,3
138,BrowserUse,"news:sa:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
139,BrowserUse,"shop:p1:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",DC,3
140,BrowserUse,"shop:p1:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",DC,3
141,BrowserUse,"shop:p1:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
142,BrowserUse,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",DC,3
143,BrowserUse,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",DC,3
144,BrowserUse,"shop:p1:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",DC,3
145,BrowserUse,"shop:p1:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
146,BrowserUse,"shop:p1:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
147,BrowserUse,"shop:p1:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
148,BrowserUse,"shop:p1:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
149,BrowserUse,"shop:p1:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,2
150,BrowserUse,"shop:p1:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
151,BrowserUse,"shop:p1:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
152,BrowserUse,"shop:p1:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,1
153,BrowserUse,"shop:p1:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,2
154,BrowserUse,"shop:p1:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,1
155,BrowserUse,"shop:p1:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,2
156,BrowserUse,"shop:p1:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,3
157,BrowserUse,"shop:p1:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,2
158,BrowserUse,"shop:p1:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,1
159,BrowserUse,"shop:p1:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,2
160,BrowserUse,"shop:p1:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,1
161,BrowserUse,"shop:p1:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,2
162,BrowserUse,"shop:p1:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,1
163,BrowserUse,"shop:p1:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,1
164,BrowserUse,"shop:p1:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,2
165,BrowserUse,"shop:p2:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",DC,3
166,BrowserUse,"shop:p2:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",DC,2
167,BrowserUse,"shop:p2:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",DF,1
168,BrowserUse,"shop:p2:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,2
169,BrowserUse,"shop:p2:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
170,BrowserUse,"shop:p2:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",DC,3
171,BrowserUse,"shop:p2:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",DC,3
172,BrowserUse,"shop:p2:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",DC,3
173,BrowserUse,"shop:p2:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
174,BrowserUse,"shop:p2:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
175,BrowserUse,"shop:p2:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
176,BrowserUse,"shop:p2:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,2
177,BrowserUse,"shop:p2:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
178,BrowserUse,"shop:p2:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
179,BrowserUse,"shop:p2:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,3
180,BrowserUse,"shop:p2:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,3
181,BrowserUse,"shop:p2:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,1
182,BrowserUse,"shop:p2:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,2
183,BrowserUse,"shop:p2:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,2
184,BrowserUse,"shop:p2:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,1
185,BrowserUse,"shop:p2:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,3
186,BrowserUse,"shop:p2:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,2
187,BrowserUse,"shop:p2:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,1
188,BrowserUse,"shop:p2:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,2
189,BrowserUse,"shop:p2:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,1
190,BrowserUse,"shop:s:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,3
191,BrowserUse,"shop:s:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
192,BrowserUse,"shop:s:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
193,BrowserUse,"shop:s:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
194,BrowserUse,"shop:s:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
