,agent,site_name,scenario,prompt,task_correct
300,Skyvern,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",True
304,Skyvern,health,"health:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
310,Skyvern,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",False
315,Skyvern,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
317,Skyvern,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",False
334,Skyvern,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
342,Skyvern,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",False
344,Skyvern,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",True
351,Skyvern,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
359,Skyvern,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
370,Skyvern,shop,"shop:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
377,Skyvern,shop,"shop:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
379,Skyvern,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",True
387,Skyvern,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
388,Skyvern,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",True
429,Skyvern,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",True
437,Skyvern,spotify,"spotify:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.","Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",False
441,Skyvern,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
450,Skyvern,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",False
463,Skyvern,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
470,Skyvern,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
475,Skyvern,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
478,Skyvern,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",True
482,Skyvern,health,"health:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
500,Skyvern,shop,"shop:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",False
507,Skyvern,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
516,Skyvern,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",False
518,Skyvern,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
521,Skyvern,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
525,Skyvern,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
529,Skyvern,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",True
541,Skyvern,shop,"shop:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
543,Skyvern,shop,"shop:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
546,Skyvern,spotify,"spotify:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.","Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",False
555,Skyvern,health,"health:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
564,Skyvern,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
573,Skyvern,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",True
575,Skyvern,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
576,Skyvern,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",True
582,Skyvern,spotify,"spotify:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.","Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",True
584,Skyvern,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
605,Skyvern,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",False
621,Skyvern,shop,"shop:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
622,Skyvern,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
625,Skyvern,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
634,Skyvern,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
643,Skyvern,shop,"shop:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",False
648,Skyvern,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
657,Skyvern,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
658,Skyvern,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
682,Skyvern,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",False
684,Skyvern,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",False
710,Skyvern,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
712,Skyvern,shop,"shop:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
725,Skyvern,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
740,Skyvern,shop,"shop:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",True
752,Skyvern,shop,"shop:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",True
756,Skyvern,shop,"shop:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
761,Skyvern,shop,"shop:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
775,Skyvern,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",True
776,Skyvern,shop,"shop:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
789,Skyvern,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
798,Skyvern,spotify,"spotify:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.","Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",True
802,Skyvern,shop,"shop:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",True
816,Skyvern,shop,"shop:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
817,Skyvern,news,"news:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.","Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",True
820,Skyvern,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
829,Skyvern,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",False
842,Skyvern,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
878,Skyvern,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",True
926,Agent-E,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
935,Agent-E,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",True
938,Agent-E,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
950,Agent-E,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",True
954,Agent-E,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",True
968,Agent-E,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
969,Agent-E,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
973,Agent-E,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",True
976,Agent-E,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
979,Agent-E,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",True
996,Agent-E,shop,"shop:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1000,Agent-E,shop,"shop:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
1007,Agent-E,spotify,"spotify:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.","Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",False
1026,Agent-E,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
1029,Agent-E,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1032,Agent-E,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
1034,Agent-E,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
1041,Agent-E,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
1046,Agent-E,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",True
1055,Agent-E,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1070,Agent-E,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",False
1075,Agent-E,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
1091,Agent-E,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1094,Agent-E,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
